,,
Volcano Name,Latitude,Longitude
Berutarubesan [Berutarube],44.462,146.932
Moekeshiwan [Lvinaya Past],44.608,146.994
Etorofu-Atosanupuri [Atosanupuri],44.808,147.131
Nishihitokappuyama [Bogatyr Ridge],44.833,147.342
Unnamed,45.022,147.019
Etorofu-Yakeyama [Grozny Group],45.012,147.871
Odamoisan [Tebenkov],45.028,147.918
Sashiusudake [Baransky],45.1,148.019
Chirippusan [Chirip],45.338,147.92
Rucharuyama [Golets-Tornyi Group],45.25,148.35
Moyorodake [Medvezhia],45.389,148.838
Rakkibetsudake [Demon],45.5,148.85
Ivao Group,45.77,149.68
Rudakov,45.874,149.819
Tri Sestry,45.93,149.92
Kolokol Group,46.042,150.083
Chirpoi,46.532,150.871
Unnamed,46.47,151.28
Milna,46.815,151.786
Zavaritzki Caldera,46.925,151.95
Prevo Peak,47.02,152.12
Uratman,47.12,152.25
Ketoi,47.35,152.475
Ushishur,47.52,152.8
Srednii,47.6,152.92
Rasshua,47.77,153.02
Sarychev Peak,48.092,153.2
Raikoke,48.292,153.25
Chirinkotan,48.98,153.48
Ekarma,48.958,153.93
Sinarka,48.873,154.182
Kharimkotan,49.12,154.508
Tao-Rusyr Caldera,49.35,154.7
Nemo Peak,49.57,154.808
Shirinki,50.2,154.98
Fuss Peak,50.267,155.246
Karpinsky Group,50.148,155.373
Chikurachki,50.324,155.461
Vernadskii Ridge,50.55,155.97
Ebeko,50.686,156.014
Alaid,50.861,155.565
Mashkovtsev,51.1,156.72
Kambalny,51.306,156.875
Koshelev,51.356,156.753
Yavinsky,51.533,156.629
Diky Greben,51.452,156.978
Kurile Lake,51.45,157.12
Iliinsky,51.498,157.203
Zheltovsky,51.577,157.328
Kell,51.65,157.35
Belenkaya,51.75,157.27
Ksudach,51.844,157.572
Ozernoy,51.88,157.38
Olkoviy Volcanic Group,52.02,157.53
Khodutka,52.062,157.711
Piratkovsky,52.113,157.849
Ostanets,52.146,157.322
Otdelniy,52.221,157.435
Golaya,52.263,157.787
Asacha,52.355,157.827
Visokiy,52.43,157.93
Mutnovsky,52.449,158.196
Gorely,52.559,158.03
Opala,52.543,157.339
Tolmachev Dol,52.63,157.58
Vilyuchik,52.7,158.28
Barkhatnaya Sopka,52.802,158.24
Bolshe-Bannaya,52.9,157.78
Koryaksky,53.321,158.712
Avachinsky,53.256,158.836
Dzenzursky,53.637,158.922
Zhupanovsky,53.589,159.15
Veer,53.75,158.45
Kostakan,53.83,158.05
Bakening,53.905,158.07
Zavaritsky,53.905,158.385
Akademia Nauk,53.98,159.45
Karymsky,54.049,159.443
Maly Semyachik,54.135,159.674
Bolshoi Semiachik,54.32,160.02
Taunshits,54.528,159.804
Uzon,54.5,159.97
Kikhpinych,54.489,160.251
Krasheninnikov,54.596,160.27
Kronotsky,54.753,160.533
Schmidt,54.92,160.63
Gamchen,54.974,160.703
Komarov,55.033,160.725
Vysoky,55.064,160.765
Kizimen,55.131,160.32
Tolbachik,55.832,160.326
Udina,55.758,160.527
Zimina,55.862,160.603
Bezymianny,55.972,160.595
Kamen,56.02,160.593
Klyuchevskoy,56.056,160.642
Ushkovsky,56.113,160.509
Sheveluch,56.653,161.36
Piip,55.42,167.33
Khangar,54.761,157.407
Cherpuk Group,55.55,157.47
Ichinsky,55.678,157.718
Maly Payalpan,55.82,157.98
Bolshoi Payalpan,55.88,157.78
Plosky,55.2,158.47
Akhtang,55.43,158.65
Kozyrevsky,55.58,158.38
Romanovka,55.65,158.8
Uksichan,56.08,158.38
Bolshoi-Kekuknaysky,56.483,157.917
Kulkev,56.37,158.37
Geodesistoy,56.33,158.67
Anaun,56.32,158.83
Krainy,56.37,159.03
Kekurny,56.4,158.85
Eggella,56.57,158.52
Verkhovoy,56.52,159.53
Alney-Chashakondzha,56.656,159.647
Cherny,56.82,159.67
Pogranychny,56.85,159.8
Zaozerny,56.88,159.95
Bliznets,56.97,159.78
Kebeney,57.1,159.93
Fedotych,57.13,160.4
Shisheika,57.153,161.09
Terpuk,57.2,159.83
Sedankinsky,57.27,160.08
Leutongey,57.306,159.827
Tuzovsky,57.32,159.967
Gorny Institute,57.33,160.2
Kinenin,57.35,160.97
Bliznetsy,57.35,161.37
Titila,57.406,160.108
Mezhdusopochny,57.47,160.25
Shishel,57.45,160.37
Elovsky,57.55,160.53
Alngey,57.702,160.418
Uka,57.706,160.59
Kaileney,57.8,160.67
Plosky,57.83,160.25
Bely,57.88,160.53
Nylgimelkin,57.97,160.65
Snezhniy,58.02,160.8
Iktunup,58.08,160.77
Spokoiny,58.13,160.82
Ostry,58.18,160.82
Snegovoy,58.2,160.97
Severny,58.28,160.87
Iettunup,58.4,161.08
Voyampolsky,58.374,160.631
Udokan Plateau,56.28,117.77
Vitim Plateau,53.7,113.3
Tunkin Depression,51.5,102.5
Jom-Bolok,52.713,99.021
Azas Plateau,52.433,98.303
Taryatu-Chulutu,48.133,99.95
Khanuy Gol,48.67,102.75
Dariganga Volcanic Field,45.754,114.279
Kunlun Volcanic Group,35.52,80.2
Honggeertu,41.47,113
Arxan-Chaihe,47.45,120.8
Keluo Group,49.37,125.92
Wudalianchi,48.72,126.12
Jingbo,44.08,128.83
Longgang Group,42.33,126.5
Changbaishan,41.98,128.08
Ch'uga-ryong,38.33,127.33
Ulreung,37.5,130.87
Halla,33.361,126.53
Buldir,52.35,175.911
Kiska,52.103,177.602
Segula,52.015,178.136
Davidof,51.97,178.33
Little Sitkin,51.95,178.543
Semisopochnoi,51.93,179.58
Gareloi,51.79,-178.794
Tanaga,51.885,-178.146
Takawangha,51.873,-178.006
Bobrof,51.91,-177.438
Kanaga,51.923,-177.168
Moffett,51.944,-176.747
Great Sitkin,52.076,-176.13
Kasatochi,52.177,-175.508
Koniuji,52.22,-175.13
Atka,52.331,-174.139
Korovin,52.381,-174.166
Seguam,52.315,-172.51
Amukta,52.5,-171.252
Chagulak,52.577,-171.13
Yunaska,52.643,-170.629
Herbert,52.742,-170.111
Carlisle,52.894,-170.054
Cleveland,52.825,-169.944
Tana,52.83,-169.77
Uliaga,53.065,-169.77
Kagamil,52.974,-169.72
Vsevidof,53.13,-168.693
Recheschnoi,53.157,-168.539
Okmok,53.43,-168.13
Bogoslof,53.93,-168.03
Makushin,53.891,-166.923
Akutan,54.134,-165.986
Westdahl,54.516,-164.65
Fisher,54.65,-164.43
Shishaldin,54.756,-163.97
Isanotski,54.765,-163.723
Roundtop,54.8,-163.589
Amak,55.424,-163.149
Frosty,55.067,-162.835
Dutton,55.183,-162.276
Emmons Lake,55.341,-162.073
Pavlof,55.417,-161.894
Pavlof Sister,55.457,-161.854
Dana,55.641,-161.214
Stepovak Bay 2,55.913,-160.041
Stepovak Bay 3,55.929,-160.002
Stepovak Bay 4,55.954,-159.954
Kupreanof,56.011,-159.797
Veniaminof,56.17,-159.38
Black Peak,56.552,-158.785
Aniakchak,56.88,-158.17
Yantarni,57.019,-157.185
Chiginagak,57.135,-156.99
Kialagvik,57.203,-156.745
Ugashik-Peulik,57.751,-156.368
Ukinrek Maars,57.832,-156.51
